epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2782.11,2.11435,2.93742,1.92492,0.35023,0.27264,0.16856,0.06835,2.18623,3.05485,1.97165,9.99625e-05,9.99625e-05,0.0667791
2,7810.24,1.92864,2.42051,1.803,0.31617,0.31498,0.19634,0.07759,2.15772,3.13289,1.91883,0.000190064,0.000190064,0.0335359
3,28659.6,1.84161,2.25434,1.74385,0.30658,0.34052,0.24775,0.08723,2.15626,2.44743,1.90463,0.000270266,0.000270266,0.000282769
4,31435.9,1.78926,2.12966,1.70425,0.42995,0.34593,0.31381,0.13976,1.94517,2.28757,1.75728,0.00025545,0.00025545,0.00025545
5,34338.2,1.76573,2.03611,1.68162,0.3933,0.42593,0.32943,0.14521,1.96068,2.18635,1.80057,0.0002406,0.0002406,0.0002406
6,37122.9,1.74049,1.96112,1.65939,0.48483,0.4346,0.38965,0.1796,1.8882,2.05883,1.70349,0.00022575,0.00022575,0.00022575
7,40048.7,1.70876,1.89926,1.63702,0.48267,0.44634,0.41066,0.19716,1.83563,1.97556,1.67826,0.0002109,0.0002109,0.0002109
8,42826.5,1.68047,1.8423,1.61788,0.52369,0.47872,0.43131,0.20677,1.83834,1.91155,1.67128,0.00019605,0.00019605,0.00019605
9,3177.35,1.66824,1.79278,1.60236,0.52737,0.49217,0.44884,0.22244,1.83876,1.87554,1.67304,0.0001812,0.0001812,0.0001812
10,6110.83,1.64098,1.74229,1.58149,0.54034,0.51271,0.46404,0.22909,1.78443,1.8453,1.64509,0.00016635,0.00016635,0.00016635
11,8931.51,1.63042,1.72749,1.59969,0.57356,0.50377,0.4819,0.23469,1.80498,1.79377,1.64196,0.0001515,0.0001515,0.0001515
12,11727.1,1.60359,1.67509,1.5726,0.56895,0.51656,0.48464,0.24692,1.76819,1.7759,1.62392,0.00013665,0.00013665,0.00013665
13,14857.1,1.586,1.64569,1.56454,0.59619,0.51783,0.50937,0.2641,1.74408,1.71975,1.59799,0.0001218,0.0001218,0.0001218
14,17650.3,1.56651,1.61899,1.54879,0.60509,0.51921,0.51156,0.25941,1.77149,1.7036,1.5992,0.00010695,0.00010695,0.00010695
15,20788.1,1.55575,1.59104,1.537,0.62973,0.52767,0.52457,0.27121,1.71898,1.64551,1.56801,9.21e-05,9.21e-05,9.21e-05
16,23645.9,1.54332,1.5727,1.524,0.61124,0.5359,0.52717,0.27356,1.71817,1.65095,1.55921,7.725e-05,7.725e-05,7.725e-05
17,26439.1,1.52602,1.5296,1.51292,0.62676,0.53632,0.5348,0.27769,1.71224,1.61874,1.55378,6.24e-05,6.24e-05,6.24e-05
18,29222.3,1.50916,1.5046,1.50211,0.61439,0.53789,0.5209,0.26567,1.7324,1.6447,1.56679,4.755e-05,4.755e-05,4.755e-05
19,32001.6,1.49632,1.47331,1.48641,0.63558,0.54687,0.5439,0.28505,1.7084,1.6083,1.55238,3.27e-05,3.27e-05,3.27e-05
20,34779.6,1.4893,1.46516,1.48681,0.62942,0.55594,0.54437,0.28428,1.70582,1.5955,1.55099,1.785e-05,1.785e-05,1.785e-05
